Level,Points,Journal,ISSN,Econ,ABS,I,A,T,B.Points,,,
Level II,60.000,SIAM Journal on Optimization,1052-6234,0,3,3.356,2.567,2.435,53.118,,,
Level II,60.000,Social Forces,0037-7732,0,3,3.178,1.714,2.133,45.246,,,
Level II,60.000,Sociological Methodology,0081-1750,0,3,3.347,1.974,1.598,48.409,,,
Level II,60.000,Sociological Review,0038-0261,0,3,2.485,0.913,2.159,33.308,,,
Level II,60.000,Strategic Organization,1476-1270,0,3,4.120,1.663,2.916,49.035,,,
Level II,60.000,Studies in Higher Education,0307-5079,0,3,3.213,0.648,2.725,32.310,,,
Level II,60.000,Supply Chain Management: An International Journal,1359-8546,0,3,7.236,1.045,4.285,50.757,,,
Level II,60.000,Technological Forecasting and Social Change,0040-1625,0,3,4.301,0.756,4.264,37.777,,,
Level II,60.000,Technovation,0166-4972,0,3,5.985,1.028,5.260,47.223,,,
Level II,60.000,Theory Culture and Society,0263-2764,0,3,2.855,1.070,2.202,36.951,,,
Level II,60.000,Transportation Science,0041-1655,0,3,4.500,1.633,3.344,50.252,,,
Level II,60.000,West European Politics,0140-2382,0,3,3.277,1.603,2.735,44.675,,,
Level II,60.000,Work and Occupations,0730-8884,0,3,3.208,1.181,2.581,39.847,,,
Level II,60.000,Work and Stress,0267-8373,0,3,4.965,1.524,3.112,50.768,,,
Level III,56.914,Communications of the ACM,0001-0782,0,2,5.701,1.840,5.154,56.914,,,
Level III,55.156,Transport Reviews,0144-1647,0,2,6.088,1.575,6.000,55.156,,,
Level III,49.112,"Information, Communication and Society",1369-118X,0,2,4.819,1.429,3.922,49.112,,,
Level III,47.205,Journal of Cleaner Production,0959-6526,0,2,6.965,0.883,6.431,47.205,,,
Level III,47.088,Journal of Business and Psychology,0889-3268,0,2,4.097,1.490,2.812,47.088,,,
Level III,46.867,Organizational Psychology Review,2041-3866,0,2,3.805,1.583,3.347,46.867,,,
Level III,46.409,European Psychologist,1016-9040,0,1,4.120,1.421,2.416,46.409,,,
Level III,46.143,International Journal of Information Management,0268-4012,0,2,6.609,0.872,5.930,46.143,,,
Level III,45.636,Journal of Business Logistics,0735-3766,0,2,5.384,1.037,3.586,45.636,,,
Level III,44.970,Journal of Industrial Ecology,1088-1980,0,2,5.349,1.001,5.240,44.970,,,
Level III,44.775,Social networks,0378-8733,0,2,3.531,1.497,2.618,44.775,,,
Level III,44.192,STATA Journal,1536-867X,0,2,2.977,1.710,1.981,44.192,,,
Level III,43.807,Social Studies of Science,0306-3127,0,2,3.635,1.366,2.976,43.807,,,
Level III,42.667,Journal of Service Management (formerly IJSIM),1757-5818,0,2,5.222,0.882,3.769,42.667,,,
Level III,42.418,Journal of Transport Geography,0966-6923,0,2,4.498,1.007,3.364,42.418,,,
Level III,42.301,Journal of Positive Psychology,1743-9760,0,1,3.851,1.167,3.213,42.301,,,
Level III,41.723,International Journal of Project Management,0263-7863,0,2,5.758,0.750,5.212,41.723,,,
Level III,41.280,International Journal of Physical Distribution and Logistics Management,0960-0035,0,2,5.366,0.781,4.724,41.280,,,
Level III,41.080,Applied Psychology - Health and Well Being,1758-0846,0,2,3.580,1.154,2.218,41.080,,,
Level III,40.691,Journal of Purchasing and Supply Management,1478-4092,0,2,5.327,0.755,3.799,40.691,,,
Level III,40.130,Journal of Mathematical Psychology,0022-2496,0,2,2.830,1.366,2.611,40.130,,,
Level III,40.000, Information Technology for Development,0268-1102,0,2,1.966,0.276,1.871,20.177,,,
Level III,40.000,Accounting and Finance,0810-5391,0,2,1.822,0.247,1.745,18.906,,,
Level III,40.000,Administration and Society,0095-3997,0,2,1.890,0.533,1.674,25.064,,,
Level III,40.000,Advances in Strategic Management,0742-3322,0,2,1.117,0.670,0.746,22.595,,,
Level III,40.000,American Journal of Psychology,0002-9556,0,2,1.008,0.350,0.935,17.365,,,
Level III,40.000,Annals of Applied Statistics,1932-6157,0,2,2.171,1.748,1.626,39.876,,,
Level III,40.000,Applied Cognitive Psychology,0888-4080,0,2,1.958,0.681,1.536,27.650,,,
Level III,40.000,Applied Ergonomics,0003-6870,0,2,2.771,0.608,2.730,30.003,,,
Level III,40.000,Applied Psychology Measurement,0146-6216,0,2,1.368,0.756,1.135,25.292,,,
Level III,40.000,Asia Pacific Journal of Human Resources,1038-4111,0,2,1.739,0.343,1.316,20.864,,,
Level III,40.000,ASTIN Bulletin: Journal of International Actuarial Association,0515-0361,0,2,1.367,0.711,1.053,24.754,,,
Level III,40.000,Australian Accounting Review,1035-6908,0,2,1.461,0.152,1.158,14.754,,,
Level III,40.000,Australian Journal of Public Administration,0313-6647,0,2,1.227,0.263,1.145,16.835,,,
Level III,40.000,Behavior and Information Technology,0144-929X,0,2,1.946,0.344,1.530,21.732,,,
Level III,40.000,British Journal of Educational Technology,0007-1013,0,2,3.218,0.542,2.756,30.374,,,
Level III,40.000,British Journal of Guidance and Counseling,0306-9885,0,2,0.915,0.138,0.824,12.127,,,
Level III,40.000,Building Research and Information,0961-3218,0,2,3.988,0.726,3.700,36.263,,,
Level III,40.000,Business Horizons,0007-6813,0,2,3.593,0.548,2.953,31.682,,,
Level III,40.000,Career Development International,1362-0436,0,2,2.672,0.578,1.869,29.106,,,
Level III,40.000,Career Development International,1362-0436,0,2,2.672,0.578,1.869,29.106,,,
Level III,40.000,Career Development Quarterly,0889-4019,0,2,1.731,0.432,1.316,22.577,,,
Level III,40.000,Cities,0264-2751,0,2,4.270,0.751,3.786,37.582,,,
Level III,40.000,Computational Statistics,0943-4062,0,2,1.029,0.575,0.751,20.798,,,
Level III,40.000,Computer Journal,0010-4620,0,2,0.923,0.267,0.950,15.317,,,
Level III,40.000,Computer Supported Cooperative Work,0925-9724,0,2,2.079,0.411,1.292,23.668,,,
Level III,40.000,Computers and Industrial Engineering,0360-8352,0,2,3.779,0.731,3.616,35.673,,,
Level III,40.000,"Consumption, Markets and Culture",1025-3866,0,2,2.313,0.528,1.900,26.810,,,
Level III,40.000,Cornell Hospitality Quarterly,1938-9655,0,2,3.761,0.623,2.451,33.674,,,
Level III,40.000,Creativity and Innovation Management,0963-1690,0,2,2.718,0.512,1.894,28.073,,,
Level III,40.000,Creativity Research Journal,1040-0419,0,2,1.789,0.444,1.102,23.057,,,
Level III,40.000,Critical Social Policy,0261-0183,0,2,2.631,0.862,2.293,33.293,,,
Level III,40.000,Cross Cultural & Strategic Management,2059-5794,0,2,2.149,0.306,1.991,21.582,,,
Level III,40.000,Culture and Organization,1475-9551,0,2,0.882,0.222,0.700,14.137,,,
Level III,40.000,Current Issues in Tourism,1368-3500,0,2,4.161,0.553,3.668,33.475,,,
Level III,40.000,Current Sociology,0268-5809,0,2,1.455,0.540,1.148,22.976,,,
Level III,40.000,Disability and Rehabilitation,0963-8288,0,2,2.323,0.647,2.106,28.825,,,
Level III,40.000,Discrete Applied Mathematics,0166-218X,0,2,1.040,0.580,0.985,20.944,,,
Level III,40.000,Discrete Optimization,1572-5286,0,2,0.908,0.621,0.706,20.456,,,
Level III,40.000,Electronic Commerce Research and Applications,1567-4223,0,2,3.889,0.657,3.106,34.711,,,
Level III,40.000,Electronic Markets,1019-6781,0,2,3.520,0.530,3.451,31.103,,,
Level III,40.000,Employee Relations,0142-5455,0,2,1.977,0.299,1.594,20.791,,,
Level III,40.000,Engineering Optimization,0305-215X,0,2,2.110,0.494,1.865,25.371,,,
Level III,40.000,Enterprise Information Systems,1751-7575,0,2,2.442,0.334,1.983,23.280,,,
Level III,40.000,Environmental Management,0364-152X,0,2,2.651,0.640,2.371,30.074,,,
Level III,40.000,Europe-Asia Studies,0966-8136,0,2,1.179,0.413,1.025,19.426,,,
Level III,40.000,European Journal of Industrial Engineering,1751-5254,0,2,1.172,0.222,1.146,15.614,,,
Level III,40.000,European Journal of Women’s Studies,1350-5068,0,2,1.707,0.549,1.340,24.444,,,
Level III,40.000,European Management Journal,0263-2373,0,2,3.745,0.653,2.574,34.182,,,
Level III,40.000,European Planning Studies,0965-4313,0,2,2.429,0.468,2.063,26.147,,,
Level III,40.000,Evaluation,1356-3890,0,2,2.318,0.619,1.696,28.374,,,
Level III,40.000,Expert Systems: the Journal of Knowledge Engineering,0266-4720,0,2,1.517,0.269,1.494,18.262,,,
Level III,40.000,Feminist Review,0141-7789,0,2,1.516,0.568,1.274,23.722,,,
Level III,40.000,Finance Research Letters,1544-6123,0,2,1.801,0.353,2.107,21.335,,,
Level III,40.000,Futures,0016-3287,0,2,2.675,0.489,2.413,27.470,,,
Level III,40.000,Geoforum,0016-7185,0,2,3.515,1.015,2.863,39.022,,,
Level III,40.000,Group Decision and Negotiation,0926-2644,0,2,1.821,0.416,1.830,22.680,,,
Level III,40.000,"Group Dynamics: Theory, Research and Practice",1089-2699,0,2,1.711,0.658,1.206,26.061,,,
Level III,40.000,Group Processes and Intergroup Relations,1368-4302,0,2,2.554,1.079,2.470,35.649,,,
Level III,40.000,Health Care Management Review,0361-6274,0,2,2.603,0.763,2.593,31.788,,,
Level III,40.000,Health Information and Libraries Journal,1471-1834,0,2,1.268,0.286,1.242,17.536,,,
Level III,40.000,Health Policy,0168-8510,0,2,2.687,0.867,2.193,33.612,,,
Level III,40.000,Higher Education,0018-1560,0,2,3.152,0.713,2.599,33.198,,,
Level III,40.000,Higher Education Policy,0952-8733,0,2,1.417,0.318,1.250,18.912,,,
Level III,40.000,Human Organization,0018-7259,0,2,1.195,0.361,0.794,18.619,,,
Level III,40.000,Human Resource Development Review,1534-4843,0,2,2.730,0.335,2.434,24.238,,,
Level III,40.000,IMA Journal of Management Mathematics,1471-678X,0,2,1.315,0.444,1.310,20.714,,,
Level III,40.000,Industrial Management and Data Systems,0263-5577,0,2,3.507,0.448,3.335,29.283,,,
Level III,40.000,Information Processing and Management,0306-4573,0,2,3.405,0.649,4.041,32.989,,,
Level III,40.000,Information Systems Management,1058-0530,0,2,2.146,0.326,1.618,22.071,,,
Level III,40.000,Innovations in Education and Teaching International,1470-3297,0,2,1.350,0.238,1.090,16.810,,,
Level III,40.000,Interacting with Computers,0953-5438,0,2,1.161,0.258,0.903,16.404,,,
Level III,40.000,International Archives of Occupational and Environmental Health,0340-0131,0,2,2.367,0.651,2.036,29.088,,,
Level III,40.000,International Journal of Accounting Information Systems,1467-0895,0,2,2.011,0.242,1.535,19.430,,,
Level III,40.000,International Journal of Advertising,0265-0487,0,2,3.136,0.653,2.778,32.124,,,
Level III,40.000,International Journal of Computer Integrated Manufacturing,0951-192X,0,2,2.255,0.373,2.315,23.525,,,
Level III,40.000,International Journal of Consumer Studies,1470-6423,0,2,2.303,0.373,1.533,23.711,,,
Level III,40.000,International Journal of Green Energy,1543-5075,0,2,1.441,0.221,1.287,16.759,,,
Level III,40.000,International Journal of Market Research,1470-7853,0,2,1.366,0.241,0.910,16.937,,,
Level III,40.000,International Journal of Strategic Property Management,1648-715X,0,2,1.574,0.196,1.602,16.576,,,
Level III,40.000,International Journal of Stress Management,1072-5245,0,2,2.671,0.774,2.093,32.240,,,
Level III,40.000,International Journal of Technology Management,0267-5730,0,2,1.649,0.275,1.126,18.955,,,
Level III,40.000,International Journal of Tourism Research,1099-2340,0,2,3.377,0.456,2.437,29.084,,,
Level III,40.000,International Public Management Journal,1096-7494,0,2,2.862,0.956,2.109,35.564,,,
Level III,40.000,International Sociology,0011-3921,0,2,2.252,0.783,1.545,30.494,,,
Level III,40.000,Internet Research: Electronic Networking Applications and Policy,1066-2243,0,2,5.046,0.629,4.218,37.460,,,
Level III,40.000,Journal of Agrarian Change,1471-0358,0,2,2.697,1.082,2.165,36.370,,,
Level III,40.000,Journal of Applied Behavioral Science,0021-8863,0,2,2.492,0.668,1.515,29.887,,,
Level III,40.000,Journal of Applied Behaviour Science,0021-8863,0,2,2.492,0.668,1.515,29.887,,,
Level III,40.000,Journal of Applied Probability,0021-9002,0,2,0.820,0.643,0.672,19.985,,,
Level III,40.000,Journal of Applied Social Psychology,0021-9029,0,2,1.903,0.665,1.510,27.151,,,
Level III,40.000,Journal of Applied Statistics,0266-4763,0,2,0.852,0.339,0.832,16.184,,,
Level III,40.000,Journal of Business-to-Business Marketing,1051-712X,0,2,1.127,0.188,0.648,14.523,,,
Level III,40.000,Journal of Business and Industrial Marketing,0885-8624,0,2,2.344,0.254,2.097,20.840,,,
Level III,40.000,Journal of Business Economics and Management,1611-1699,0,2,1.525,0.182,1.666,15.973,,,
Level III,40.000,Journal of Career Assessment,1069-0727,0,2,2.070,0.604,1.878,27.029,,,
Level III,40.000,Journal of Combinatorial Optimization,1382-6905,0,2,0.932,0.461,0.862,18.598,,,
Level III,40.000,Journal of Community Psychology,0090-4392,0,2,1.336,0.384,0.994,19.794,,,
Level III,40.000,Journal of Computer Information Systems,0887-4417,0,2,1.841,0.297,1.413,20.248,,,
Level III,40.000,Journal of Construction Engineering and Management,0733-9364,0,2,2.745,0.427,2.427,26.430,,,
Level III,40.000,Journal of Consumer Behaviour,1472-0817,0,2,2.400,0.476,1.649,26.194,,,
Level III,40.000,Journal of Cultural Economy,1753-0350,0,2,1.349,0.508,1.230,21.903,,,
Level III,40.000,Journal of Education Policy,0268-0939,0,2,3.381,0.903,2.726,36.952,,,
Level III,40.000,Journal of Engineering and Technology Management,0923-4748,0,2,3.361,0.511,2.267,30.203,,,
Level III,40.000,Journal of Family Business Strategy,1877-8585,0,2,4.482,0.699,3.252,37.291,,,
Level III,40.000,Journal of Global Information Management,1062-7375,0,2,1.000,0.125,0.975,12.076,,,
Level III,40.000,Journal of Global Information Technology Management (JGITM),1097-198X,0,2,1.268,0.146,1.165,13.853,,,
Level III,40.000,Journal of Higher Education,0022-1546,0,2,2.790,0.890,2.166,34.377,,,
Level III,40.000,Journal of Hospitality and Tourism Research,1096-3480,0,2,4.104,0.590,3.117,34.063,,,
Level III,40.000,Journal of Industrial Relations,0022-1856,0,2,1.448,0.388,1.608,20.427,,,
Level III,40.000,Journal of Information Science,0165-5515,0,2,2.190,0.426,2.225,24.399,,,
Level III,40.000,Journal of Knowledge Management,1367-3270,0,2,4.289,0.407,3.967,30.382,,,
Level III,40.000,Journal of Language And Social Psychology,0261-927X,0,2,1.678,0.602,1.136,25.093,,,
Level III,40.000,Journal of Latin American Studies,0022-216X,0,2,1.017,0.572,0.763,20.678,,,
Level III,40.000,Journal of Law and Society,0263-323X,0,2,1.068,0.294,0.860,16.667,,,
Level III,40.000,Journal of Macromarketing,0276-1467,0,2,2.382,0.344,1.804,23.323,,,
Level III,40.000,Journal of Management in Engineering,0742-597X,0,2,3.183,0.425,2.806,27.795,,,
Level III,40.000,Journal of Modern African Studies,0022-278X,0,2,1.321,0.587,0.910,22.877,,,
Level III,40.000,Journal of Nonparametric Statistics,1048-5252,0,2,0.814,0.590,0.648,19.339,,,
Level III,40.000,Journal of Nonverbal Behavior,0191-5886,0,2,2.145,0.860,1.741,30.979,,,
Level III,40.000,Journal of Occupational and Environmental Medicine,1076-2752,0,2,1.896,0.558,1.529,25.503,,,
Level III,40.000,Journal of Occupational Rehabilitation,1053-0487,0,2,2.620,0.737,2.097,31.475,,,
Level III,40.000,Journal of Operational Risk,1744-6740,0,2,0.605,0.094,0.520,9.154,,,
Level III,40.000,Journal of Organizational Behavior Management,0160-8061,0,2,1.075,0.129,1.258,12.510,,,
Level III,40.000,Journal of Organizational Change Management,0953-4814,0,2,1.456,0.202,1.138,16.289,,,
Level III,40.000,Journal of Personnel Psychology,1866-5888,0,2,1.929,0.573,1.108,25.893,,,
Level III,40.000,Journal of Risk Research,1366-9877,0,2,1.600,0.401,1.669,21.408,,,
Level III,40.000,Journal of Safety Research,0022-4375,0,2,3.002,0.972,2.552,36.371,,,
Level III,40.000,Journal of Services Marketing,0887-6045,0,2,3.205,0.454,2.675,28.514,,,
Level III,40.000,Journal of Sport Management,0888-4773,0,2,2.692,0.438,2.232,26.476,,,
Level III,40.000,Journal of Statistical Planning and Inference,0378-3758,0,2,0.967,0.812,0.750,22.971,,,
Level III,40.000,Journal of Systems and Software,0164-1212,0,2,2.604,0.584,2.429,28.945,,,
Level III,40.000,Journal of Travel and Tourism Marketing,1054-8408,0,2,3.368,0.429,3.020,28.445,,,
Level III,40.000,Leadership,1742-7150,0,2,2.305,0.501,1.383,26.284,,,
Level III,40.000,Leisure Sciences,0149-0400,0,2,2.241,0.416,1.835,24.388,,,
Level III,40.000,Leisure Studies,0261-4367,0,2,2.149,0.422,1.729,24.158,,,
Level III,40.000,Local Government Studies,0300-3930,0,2,1.862,0.454,1.725,23.578,,,
Level III,40.000,Management Communication Quarterly,0893-3189,0,2,1.937,0.487,1.363,24.490,,,
Level III,40.000,Management Decision,0025-1747,0,2,2.519,0.336,2.070,23.573,,,
Level III,40.000,Marine Policy,0308-597X,0,2,2.995,0.682,2.734,32.101,,,
Level III,40.000,MIS Quarterly Executive (MISQ-E),1540-1960,0,2,2.809,0.635,2.719,30.613,,,
Level III,40.000,Negotiation Journal,0748-4526,0,2,0.625,0.158,0.235,11.124,,,
Level III,40.000,Operations Research Letters,0167-6377,0,2,0.952,0.579,0.720,20.289,,,
Level III,40.000,Organizational Dynamics,0090-2616,0,2,1.620,0.407,1.453,21.615,,,
Level III,40.000,Parliamentary Affairs,0031-2290,0,2,1.482,0.668,1.500,24.914,,,
Level III,40.000,Personnel Review,0048-3486,0,2,2.226,0.367,1.610,23.285,,,
Level III,40.000,Physica A: Statistical Mechanics and Its Applications,0378-4371,0,2,2.388,0.446,2.519,25.559,,,
Level III,40.000,Policing: An International Journal of Police Strategies and Management,1363-951X,0,2,1.400,0.373,1.104,19.909,,,
Level III,40.000,Policy Studies,0144-2872,0,2,1.285,0.379,0.924,19.431,,,
Level III,40.000,Political Quarterly,0032-3179,0,2,1.171,0.416,1.378,19.442,,,
Level III,40.000,Political Studies,0032-3217,0,2,2.372,1.099,1.744,34.959,,,
Level III,40.000,Public Administration and Development,0271-2075,0,2,1.558,0.361,1.239,20.433,,,
Level III,40.000,Public Money and Management,0954-0962,0,2,1.301,0.254,1.158,16.960,,,
Level III,40.000,Public Policy and Administration,0952-0767,0,2,2.437,0.634,2.021,29.112,,,
Level III,40.000,Queuing Systems,0257-0130,0,2,1.041,0.703,1.033,22.412,,,
Level III,40.000,Rationality and Society,1043-4631,0,2,0.919,0.554,0.626,19.737,,,
Level III,40.000,Relations Industrielles/Industrial Relations,0034-379X,0,2,0.521,0.130,0.446,9.750,,,
Level III,40.000,Requirements Engineering,0947-3602,0,2,2.199,0.519,2.148,26.178,,,
Level III,40.000,Research Evaluation,0958-2029,0,2,2.927,0.837,2.632,34.209,,,
Level III,40.000,Research Technology Management: international journal of research management,0895-6308,0,2,3.085,0.526,1.884,29.624,,,
Level III,40.000,Review of Managerial Science,1863-6683,0,2,2.260,0.323,2.292,22.400,,,
Level III,40.000,Scandinavian Journal of Hospitality and Tourism,1502-2250,0,2,2.233,0.250,2.260,20.377,,,
Level III,40.000,Scandinavian Journal of Management,0956-5221,0,2,2.434,0.533,1.550,27.392,,,
Level III,40.000,Scandinavian Journal of Psychology,0036-5564,0,2,1.771,0.551,1.425,24.790,,,
Level III,40.000,Science and Public Policy,0302-3427,0,2,2.077,0.516,1.558,25.615,,,
Level III,40.000,"Science, Technology & Human Values",0162-2439,0,2,3.281,1.159,2.811,39.898,,,
Level III,40.000,"Science, Technology and Society",0971-7218,0,2,0.866,0.178,0.711,12.985,,,
Level III,40.000,Scientometrics,0138-9130,0,2,2.724,0.533,2.603,28.491,,,
Level III,40.000,Service Industries Journal,0264-2069,0,2,1.872,0.275,1.596,19.806,,,
Level III,40.000,Sex Roles,0360-0025,0,2,2.878,0.950,2.235,35.555,,,
Level III,40.000,SIAM Journal on Financial Mathematics,1945-497X,0,2,1.501,1.167,1.201,30.425,,,
Level III,40.000,Signs,0097-9740,0,2,2.072,0.858,1.277,30.575,,,
Level III,40.000,Simulation Modeling Practice and Theory,1569-190X,0,2,2.422,0.466,2.246,26.074,,,
Level III,40.000,Small Group Research,1046-4964,0,2,1.845,0.632,1.370,26.378,,,
Level III,40.000,Social Policy and Administration,0144-5596,0,2,1.772,0.542,1.532,24.651,,,
Level III,40.000,Sociologie du Travail,0038-0296,0,2,0.465,0.267,0.424,12.037,,,
Level III,40.000,Sport Management Review,1441-3523,0,2,3.414,0.513,2.997,30.417,,,
Level III,40.000,Statistics and Probability Letters,0167-7152,0,2,0.686,0.435,0.609,16.376,,,
Level III,40.000,Stress and Health,1532-3005,0,2,2.604,0.785,1.960,32.108,,,
Level III,40.000,System Dynamics Review,0883-7066,0,2,1.782,0.368,1.393,21.575,,,
Level III,40.000,Systemic Practice and Action Research,1094-429X,0,2,0.994,0.152,0.850,12.904,,,
Level III,40.000,Systems Research and Behavioral Science,1092-7026,0,2,1.238,0.267,0.881,16.971,,,
Level III,40.000,Teaching in Higher Education,1356-2517,0,2,1.903,0.398,1.722,22.676,,,
Level III,40.000,The Data Base for Advances in Information Systems,0095-0033,0,2,1.079,0.244,1.030,15.665,,,
Level III,40.000,Third World Quarterly,0143-6597,0,2,2.402,0.828,1.919,31.799,,,
Level III,40.000,Time and Society,0961-463X,0,2,1.785,0.541,1.285,24.689,,,
Level III,40.000,Total Quality Management and Business Excellence,1478-3363,0,2,2.231,0.185,2.210,18.341,,,
Level III,40.000,Tourism Geographies,1461-6688,0,2,3.326,0.505,2.658,29.982,,,
Level III,40.000,Tourist Studies,1468-7976,0,2,1.833,0.406,1.393,22.550,,,
Level III,40.000,Transport Policy,0967-070X,0,2,3.468,0.788,3.028,35.547,,,
Level III,40.000,Voluntas: International Journal of Voluntary and Non-Profit Organization,0957-8765,0,2,1.785,0.360,1.427,21.421,,,
Level III,40.000,Zeitschrift fur Psychologie - Journal of Psychology,2190-8370,0,2,1.945,0.620,1.358,26.697,,,
Level IV,39.745,Human-Computer Interaction,0737-0024,0,1,4.224,0.890,3.654,39.745,,,
Level IV,39.722,American Behavioral Scientist,0002-7642,0,1,3.066,1.225,1.598,39.722,,,
Level IV,37.727,Journal of Informetrics,1751-1577,0,1,3.709,0.874,3.991,37.727,,,
Level IV,37.657,Industrial and Organizational Psychology-Perspectives on Science and Practice,1754-9426,0,1,2.996,1.076,8.266,37.657,,,
Level IV,37.594,Corporate Social Responsibility and Environmental Management,1535-3958,0,1,6.157,0.521,4.991,37.594,,,
Level IV,36.917,Journal of Manufacturing Systems,0278-6125,0,1,4.180,0.729,4.149,36.917,,,
Level IV,34.806,"Flexible Services and Manufacturing Journal (formerly 0920-6299 ""International Journal of Flexible Manufacturing Systems"")",1936-6582,0,1,3.059,0.841,2.411,34.806,,,
Level IV,34.512,Basic and Applied Social Psychology,0197-3533,0,1,2.487,1.010,2.017,34.512,,,
Level IV,33.096,Journal of Intelligent Manufacturing,0956-5515,0,1,3.755,0.594,3.838,33.096,,,
Level IV,32.741,Journal of Destination Marketing and Management,2212-571X,0,1,4.537,0.476,3.915,32.741,,,
Level IV,32.424,Review of Public Personnel Administration,0734-371X,0,1,2.805,0.749,2.702,32.424,,,
Level IV,31.665,Project Management Journal,8756-9728,0,1,3.172,0.619,2.169,31.665,,,
Level IV,31.447,Active Learning in Higher Education,1469-7874,0,1,3.373,0.571,2.460,31.447,,,
Level IV,31.134,Journal of Health Services Research and Policy,1355-8196,0,1,2.254,0.830,2.247,31.134,,,
Level IV,29.634,"Sport, Exercise and Performance Psychology",2157-3905,0,1,2.447,0.664,1.978,29.634,,,
Level IV,29.486,International Journal of Psychology,0020-7594,0,1,2.269,0.706,1.577,29.486,,,
Level IV,28.568,International Transactions in Operational Research,0969-6016,0,1,2.456,0.596,2.576,28.568,,,
Level IV,28.502,Journal of Psychology,0022-3980,0,1,2.269,0.641,1.499,28.502,,,
Level IV,28.454,Rehabilitation Psychology,0090-5550,0,1,2.182,0.663,1.542,28.454,,,
Level IV,27.728,Scandinavian Actuarial Journal,0346-1238,0,1,1.655,0.812,1.593,27.728,,,
Level IV,27.646,Health and Social Care in the Community,0966-0410,0,1,2.277,0.585,1.887,27.646,,,
Level IV,27.465,Operations Management Research: Advancing Practice through Theory,1936-9735,0,1,2.838,0.461,2.750,27.465,,,
Level IV,27.419,Revista de Saude Publica,0034-8910,0,1,2.325,0.560,1.876,27.419,,,
Level IV,26.771,International Journal of Intercultural Relations,0147-1767,0,1,2.161,0.563,1.758,26.771,,,
Level IV,26.313,International Journal of General Systems,0308-1079,0,1,2.117,0.547,2.287,26.313,,,
Level IV,26.267,Journal of Electronic Commerce Research,1526-6133,0,1,2.691,0.428,1.776,26.267,,,
Level IV,25.409,International Journal of Occupational and Environmental Health,1077-3525,0,1,1.843,0.568,1.146,25.409,,,
Level IV,25.262,Psicothema,0214-9915,0,1,2.098,0.491,1.900,25.262,,,
Level IV,25.179,Journal of Air Transport Management,0969-6997,0,1,2.575,0.396,2.420,25.179,,,
Level IV,24.900,International Journal of Logistics Management,0957-4093,0,1,2.849,0.347,2.442,24.900,,,
Level IV,24.798,Social Justice Research,0885-7466,0,1,1.565,0.624,1.013,24.798,,,
Level IV,24.521,Occupational Medicine,0962-7480,0,1,1.805,0.524,1.424,24.521,,,
Level IV,24.378,Evidence and Policy,1744-2648,0,1,1.884,0.494,1.527,24.378,,,
Level IV,24.145,Ethics and Information Technology,1388-1957,0,1,1.988,0.455,1.829,24.145,,,
Level IV,23.895,Online Information Review,1468-4527,0,1,2.295,0.383,1.803,23.895,,,
Level IV,23.553,Journal of Social Psychology,0022-4545,0,1,1.582,0.533,1.190,23.553,,,
Level IV,23.464,International Journal of Logistics: Research and Applications,1367-5567,0,1,2.311,0.361,2.267,23.464,,,
Level IV,23.199,Public Performance & Management Review,1530-9576,0,1,1.931,0.418,1.436,23.199,,,
Level IV,23.168,Canadian Psychology-Psychologie Canadienne,0708-5591,0,1,1.796,0.448,1.797,23.168,,,
Level IV,22.989,Journal of Vacation Marketing,1356-7667,0,1,2.580,0.305,1.992,22.989,,,
Level IV,22.841,Optimization: A Journal of Mathematical Programming and Operations Research,0233-1934,0,1,1.261,0.613,1.299,22.841,,,
Level IV,22.825,Journal of Career Development,0894-8453,0,1,1.729,0.446,1.459,22.825,,,
Level IV,22.650,Quality and Reliability Engineering International,0748-8017,0,1,1.800,0.419,1.577,22.650,,,
Level IV,22.531,Australian Journal of Psychology,0004-9530,0,1,1.586,0.468,1.134,22.531,,,
Level IV,21.622,Educational Management Administration & Leadership,1741-1432,0,1,2.219,0.298,1.931,21.622,,,
Level IV,21.622,Educational Management Administration and Leadership,1741-1432,0,1,2.219,0.298,1.931,21.622,,,
Level IV,21.525,Journal of Service Theory and Practice,2055-6225,0,1,2.318,0.281,2.423,21.525,,,
Level IV,21.460,Current Psychology,1046-1310,0,1,1.514,0.427,1.600,21.460,,,
Level IV,20.976,International Journal of Industrial Ergonomics,0169-8141,0,1,1.778,0.341,1.554,20.976,,,
Level IV,20.896,"Journal of Health, Organisation and Management",1477-7266,0,1,1.628,0.368,1.054,20.896,,,
Level IV,20.866,Journal of Simulation,1747-7778,0,1,1.551,0.385,1.322,20.866,,,
Level IV,20.487,British Food Journal,0007-070X,0,1,2.001,0.283,1.703,20.487,,,
Level IV,20.298,Proceedings of Institute of Mechanical Engineers Part B: Journal of Engineering Manufacture,0954-4054,0,1,1.935,0.285,1.726,20.298,,,
Level IV,20.000,Academia Revista Latinoamericana de Administración,1012-8255,0,1,0.770,0.066,0.610,8.827,,,
Level IV,20.000,Action Research,1476-7503,0,1,1.031,0.214,0.733,14.729,,,
Level IV,20.000,Asia-Pacific Journal of Operational Research,0217-5959,0,1,0.640,0.193,0.625,12.019,,,
Level IV,20.000,Asia Pacific Journal of Tourism Research,1094-1665,0,1,1.930,0.239,1.604,19.061,,,
Level IV,20.000,Asian Journal of Technology Innovation,1976-1597,0,1,0.901,0.111,0.773,11.168,,,
