"Title","ISSN","AEA","SCIMAGO","JCI"
"PRIME","2241-1534","X",NA,NA
"Principios: Estudios de Economía Política","1698-7616","X",NA,NA
"Privredna Kretanja i Ekonomska Politika","1330-187X","X",NA,NA
"Problemas del Desarrollo","0301-7036","X","X",NA
"Problems of Economic Transition","1061-1991","X",NA,NA
"Problems of Economics","0032-9436","X",NA,NA
"Proceedings of the National Academy of Sciences of the United States of America","0027-8424","X",NA,NA
"Production and Operations Management","1059-1478","X",NA,NA
"PSL Quarterly Review","2037-3635","X","X",NA
"Public Administration Review","0033-3352","X",NA,NA
"Public Budgeting and Finance","0275-1100","X","X",NA
"Public Choice","0048-5829","X","X","X"
"Public Finance","0033-3476","X",NA,NA
"Public Finance and Management","1523-9721","X",NA,NA
"Public Finance Quarterly","1091-1421","X","X",NA
"Public Management","1896-0200","X",NA,NA
"Public Organization Review","1566-7170","X",NA,NA
"Public Policy","0033-3646","X",NA,NA
"Public Policy Review","1880-1951","X",NA,NA
"Public Policy Review","2435-5615","X",NA,NA
"Public Sector Economics","2459-8860","X","X",NA
"Punjab University Economist","0377-3191","X",NA,NA
"QA: Rivista dell' Associazione Rossi-Doria","1971-4017","X",NA,NA
"Qualitative Research in Financial Markets","1755-4179","X","X",NA
"Quantile","2309-3013","X",NA,NA
"Quantitative Economics","1759-7323","X","X","X"
"Quantitative Finance","1469-7688","X",NA,"X"
"Quantitative Marketing and Economics","1570-7156","X",NA,"X"
"Quarterly Energy Economics Review","1735-1626","X",NA,NA
"Quarterly Iranian Economic Research","1726-0728","X",NA,NA
"Quarterly Journal of Applied Theories of Economics","2423-6578","X",NA,NA
"Quarterly Journal of Austrian Economics","1098-3708","X",NA,NA
"Quarterly Journal of Economic Growth and Development Research","2228-5954","X",NA,NA
"Quarterly Journal of Economics","0033-5533","X","X","X"
"Quarterly Journal of Finance","2010-1392","X","X",NA
"Quarterly Journal of International Agriculture","0049-8599","X",NA,NA
"Quarterly Journal of Political Science","1554-0626","X",NA,NA
"Quarterly Journal of the Economic Research","1735-6768","X",NA,NA
"Quarterly Review of Agricultural Economics","0156-7446","X",NA,NA
"Quarterly Review of Economics and Business","0033-5797","X",NA,NA
"Quarterly Review of Economics and Finance","1062-9769","X","X",NA
"Quarterly Selection of Articles","1778-2333","X",NA,NA
"RAND Journal of Economics","0741-6261","X","X","X"
"Rassegna Economica","0390-010X","X",NA,NA
"Real Estate Economics","1080-8620","X","X","X"
"Recherches Economiques de Louvain","0770-4518","X",NA,NA
"Recma: Revue Internationale de l'Economie Sociale","0035-2020","X",NA,NA
"REGION","2409-5370","X","X",NA
"Région et Développement","1267-5059","X",NA,NA
"Regional and Sectoral Economic Studies","1578-4460","X","X",NA
"Regional Science and Urban Economics","0166-0462","X","X","X"
"Regional Science Inquiry","1791-5961","X","X",NA
"Regional Science Perspectives","0097-1197","X",NA,NA
"Regional Studies","0034-3404","X",NA,"X"
"Regulation","0147-0590","X",NA,NA
"Regulation and Governance","1748-5983","X",NA,NA
"Research in Economics","1090-9443","X","X",NA
"Research in International Business and Finance","0275-5319","X",NA,NA
"Research in Law and Economics","0193-5895","X",NA,NA
"Research in Transportation Economics","0739-8859","X",NA,"X"
"Research Journal of Business and Management","2148-6689","X",NA,NA
"Research Policy","0048-7333","X",NA,NA
"Reserve Bank of India Occasional Papers","0972-7493","X",NA,NA
"Resource and Energy Economics","0928-7655","X","X","X"
"Resources and Energy","0165-0572","X",NA,NA
"Resources Policy","0301-4207","X","X",NA
"Rest: Journal of Politics and Development","2632-4911","X",NA,NA
"Review of Accounting Studies","1380-6653","X",NA,NA
"Review of African Political Economy","0305-6244","X",NA,NA
"Review of Agricultural Economics","1058-7195","X",NA,NA
"Review of Applied Economics","0973-1687","X",NA,NA
"Review of Applied Socio-Economic Research","2247-6172","X",NA,NA
"Review of Asset Pricing Studies","2045-9920","X","X",NA
"Review of Austrian Economics","0889-3047","X",NA,NA
"Review of Behavioral Economics","2326-6198","X",NA,NA
"Review of Behavioral Finance","1940-5979","X",NA,NA
"Review of Black Political Economy","0034-6446","X","X",NA
"Review of Business and Economic Literature","2034-7677","X",NA,NA
"Review of Business and Economics","0772-7674","X",NA,NA
"Review of Business Research","1546-2609","X",NA,NA
"Review of Corporate Finance Studies","2046-9128","X","X",NA
"Review of Derivatives Research","1380-6645","X",NA,"X"
"Review of Development Economics","1363-6669","X",NA,"X"
"Review of Development Finance","1879-9337","X","X",NA
"Review of Economic Analysis","1973-3909","X","X",NA
"Review of Economic and Business Studies","1843-763X","X",NA,NA
"Review of Economic Conditions in Italy","0034-6799","X",NA,NA
"Review of Economic Design","1434-4742","X",NA,"X"
"Review of Economic Dynamics","1094-2025","X","X","X"
"Review of Economic Perspectives","1213-2446","X",NA,NA
"Review of Economic Research on Copyright Issues","1698-1359","X",NA,NA
"Review of Economic Sciences","1109-2629","X",NA,NA
"Review of Economic Studies","0034-6527","X","X","X"
"Review of Economics and Development Studies","2519-9692","X",NA,NA
"Review of Economics and Economic Methodology","2536-1953","X",NA,NA
"Review of Economics and Finance","1923-7529","X",NA,NA
"Review of Economics and Institutions","2038-1379","X",NA,NA
"Review of Economics and Statistics","0034-6535","X","X","X"
"Review of Economics of the Household","1569-5239","X","X","X"
"Review of Economics/Jahrbuch für Wirtschaftswissenschaften","2366-035X","X",NA,NA
"Review of Environmental Economics and Policy","1750-6816","X","X","X"
"Review of Finance","1572-3097","X","X","X"
"Review of Finance and Banking","2067-2713","X",NA,NA
"Review of Financial Economics","1058-3300","X","X",NA
"Review of Financial Studies","0893-9454","X","X","X"
"Review of Futures Markets","0898-011X","X",NA,NA
"Review of Income and Wealth","0034-6586","X","X","X"
"Review of Industrial Organization","0889-938X","X","X","X"
"Review of Integrative Business and Economics Research","2414-6722","X",NA,NA
"Review of International Economics","0965-7576","X",NA,"X"
"Review of International Organizations","1559-7431","X","X","X"
"Review of International Political Economy","0969-2290","X","X","X"
"Review of International Studies","0260-2105","X",NA,NA
"Review of Islamic Economics","0962-2055","X",NA,NA
"Review of Keynesian Economics","2049-5323","X","X","X"
"Review of Marketing and Agricultural Economics","0034-6616","X",NA,NA
"Review of Marketing Science","2194-5985","X",NA,NA
"Review of Middle East Economics and Finance","1475-3685","X",NA,NA
"Review of Network Economics","2194-5993","X",NA,"X"
"Review of Pacific Basin Financial Markets and Policies","0219-0915","X","X",NA
"Review of Political Economy","0953-8259","X",NA,NA
"Review of Public Data Use","0092-2846","X",NA,NA
"Review of Quantitative Finance and Accounting","0924-865X","X",NA,NA
"Review of Radical Political Economics","0486-6134","X","X","X"
"Review of Regional Studies","0048-749X","X",NA,NA
"Review of Social Economy","0034-6764","X","X",NA
"Review of Social Sciences","1995-6584","X",NA,NA
"Review of Urban and Regional Development Studies","0917-0553","X",NA,NA
"Review of World Economics/Weltwirtschaftliches Archiv","1610-2878","X",NA,"X"
"Revija za Pravo i Ekonomiju/Review for Law and Economics","1512-6706","X",NA,NA
"Revista Brasileira de Economia","0034-7140","X",NA,NA
"Revista Brasileira de Economia de Empresas/Brazilian Journal of Business Economics","1676-8000","X",NA,NA
"Revista Brasileira de Estudos Regionais e Urbanos","1981-3953","X",NA,NA
"Revista Brasileira de Finanças","1679-0731","X",NA,NA
"Revista Ciencias Económicas","0252-9521","X",NA,NA
"Revista Ciencias Estratégicas","1794-8347","X",NA,NA
"Revista CIFE: Lecturas de Economia Social","0124-3551","X",NA,NA
"Revista de Administraçao d'Emprêsas","2446-9955","X",NA,NA
"Revista de Análisis Económico","0716-5927","X",NA,NA
"Revista de Econometria","0101-7012","X",NA,NA
"Revista de Economía","0797-5546","X",NA,NA
"Revista de Economía (Universidad Autónoma de Yucatán)","0188-266X","X",NA,NA
"Revista de Economia Aplicada","1133-455X","X",NA,"X"
"Revista de Economia Contemporânea","1415-9848","X",NA,NA
"Revista de Economía del Caribe","2011-2106","X",NA,NA
"Revista de Economia del Rosario","0123-5362","X",NA,NA
"Revista de Economia e Sociologia Rural","0103-2003","X","X",NA
"Revista de Economía Financiera","1697-9761","X",NA,NA
"Revista de Economía Institucional","0124-5996","X",NA,NA
"Revista de Economía Laboral","1698-451X","X",NA,NA
"Revista de Economía Mundial","1576-0162","X","X","X"
"Revista de Economía Política de Buenos Aires","1850-6933","X",NA,NA
"Revista de Empresa Familiar","2174-2529","X",NA,NA
"Revista de Estudios Cooperativos","1135-6618","X","X",NA
"Revista de Estudios Regionales","0213-7585","X","X",NA
"Revista de Historia Económica","0212-6109","X","X","X"
"Revista de Historia Industrial","1132-7200","X",NA,"X"
"Revista de Métodos Cuantitativos para la Economía y la Empressa/Journal of Quantitative Methods for Economics and Business Administration","1886-516X","X",NA,NA
"Revista EAN","0120-8160","X",NA,NA
"Revista Española de Economía","0210-1025","X",NA,NA
"Revista Europea de Direcció y Economía de la Empresa","1019-6838","X",NA,NA
"Revista Facultad de Ciencias Económicas: Investigación y Reflexión","0121-6805","X",NA,NA
"Revista Finanzas y Política Económica","2248-6046","X","X",NA
"Revista Internacional Administración and Finanzas","1933-608X","X",NA,NA
"Revista Mexicana de Economia y Finanzas/Mexican Journal of Economics and Finance","1665-5346","X",NA,NA
"Revista Nicolaita de Estudios Económicos","1870-5464","X",NA,NA
"Revista Portuguesa de Estudos Regionais","1645-586X","X",NA,NA
"Revista Universitaria Europea","1139-5796","X",NA,NA
"Revue Canadienne des Sciences de l'Administration/Canadian Journal of Administrative Sciences","0825-0383","X",NA,NA
"Revue d'Economie du Développement","1245-4060","X",NA,NA
"Revue d'Economie Financière","0987-3368","X",NA,NA
"Revue d'Economie Industrielle","0154-3229","X","X",NA
"Revue d'Economie Politique","0373-2630","X",NA,"X"
"Revue d'Economie Regionale et Urbaine","0180-7307","X",NA,NA
"Revue d'Etudes Comparatives Est–Ouest","0338-0599","X",NA,"X"
"Revue d'Etudes en Agriculture et Environnement/Review of Agricultural and Environmental Studies","1966-9607","X",NA,NA
"Revue d'Histoire de la Pensée Économique/Journal of the History of Economic Thought","2496-4646","X",NA,NA
"Revue de L'OFCE","1265-9576","X",NA,NA
"Revue de la Régulation","1957-7796","X",NA,NA
"Revue de Philosophie Economique","1376-0971","X",NA,NA
"Revue de Science Financière","0035-1741","X",NA,NA
"Revue Economique","0035-2764","X",NA,NA
"Revue Finance Contrôle Stratégie","1287-1141","X",NA,NA
"Revue Française d'Economie","0769-0479","X",NA,NA
"Revue Française de Gestion","0338-4551","X","X",NA
"Revue Française de Socio-économie","1966-6608","X",NA,NA
"Revue Internationale des Études du Développement","2554-3415","X",NA,NA
"Revue interventions economiques/Papers in Political Economy","1710-7377","X",NA,NA
"Revue Roumaine des Sciences Sociales; Série Sciences Economiques","0035-404X","X",NA,NA
"Revue Tiers Monde","1293-8882","X",NA,NA
"Ricerche Economiche","0035-5054","X",NA,NA
"RISEC: International Review of Economics and Business","0035-6751","X",NA,NA
"Risk and Decision Analysis","1569-7371","X","X",NA
"Risk Decision and Policy","1357-5309","X",NA,NA
"Risk Governance and Control: Financial Markets and Institutions","2077-429X","X","X",NA
"Risks","2227-9091","X",NA,NA
"Risparmio","0035-5615","X",NA,NA
"Rivista Bancaria-Minerva Bancaria","1594-7556","X",NA,NA
"Rivista di Economia Agraria","0035-6190","X",NA,NA
"Rivista di Politica Economica","0035-6468","X",NA,NA
"Rivista di Statistica Applicata","0035-6549","X",NA,NA
"Rivista di Storia Economica, N.S.","0393-3415","X",NA,NA
"Rivista Economica del Mezzogiorno","1120-9534","X",NA,NA
"Rivista Internazionale di Scienze Sociali","0035-676X","X",NA,NA
"Rivista Italiana degli Economisti","1593-8662","X",NA,NA
"Romanian Economic and Business Review","1842-2497","X",NA,NA
"Romanian Economic Journal","1454-4296","X",NA,NA
"Romanian Journal of Economic Forecasting","1582-6163","X",NA,"X"
"Romanian Journal of Fiscal Policy","2069-0983","X",NA,NA
"RSF: The Russell Sage Foundation Journal of the Social Sciences","2377-8253","X",NA,NA
"Russian and East European Finance and Trade","1061-2009","X",NA,NA
"Russian Economic Trends","0967-0793","X",NA,NA
"Russian Journal of Economics","2618-7213","X",NA,NA
"Savings and Development","0393-4551","X",NA,NA
"Scandinavian Economic History Review","0358-5522","X",NA,NA
"Scandinavian Journal of Economics","0347-0520","X","X","X"
"Schmalenbach Business Review","1439-2917","X",NA,NA
"Schmalenbach Journal of Business Research","2213-8773","X",NA,NA
"Schmalenbachs Zeitschrift fur betriebswirtschaftliche Forschung","0341-2687","X",NA,NA
"Schmollers Jahrbuch für Wirtschafts– und Sozialwissenschaften","0036-6234","X",NA,NA
"Schmollers Jahrbuch: Journal of Contextual Economics","1439-121X","X",NA,NA
"School of Public Policy Publication","2560-8312","X",NA,NA
"Schweizerische Nationalbank Quartalsheft","1423-3789","X",NA,NA
"Schweizerische Zeitschrift für Volkswirtschaft und Statistik/Swiss Journal of Economics and Statistics","0303-9692","X",NA,NA
"Science and Society","0036-8237","X",NA,NA
"Scientific Annals of Economics and Business","2501-1960","X",NA,NA
"Scientific Annals of the ""Alexandru Ioan Cuza"" University of Iasi","0379-7864","X",NA,NA
"Scienze Regionali/Italian Journal of Regional Science","1720-3929","X","X",NA
"Scottish Journal of Political Economy","0036-9292","X","X","X"
"SEER. South-East Europe Review for Labour and Social Affairs","1435-2869","X",NA,NA
"Semestre Económico","0120-6346","X",NA,NA
"Seoul Journal of Economics","1225-0279","X",NA,NA
"SERIEs","1869-4187","X",NA,"X"
"Sinapsis","2145-969X","X",NA,NA
"Singapore Economic Review","0217-5908","X","X","X"
"Sloan Management Review","0019-848X","X",NA,NA
"Small Business Economics","0921-898X","X","X","X"
"Social and Economic Studies","0037-7651","X","X",NA
"Social Choice and Welfare","0176-1714","X","X","X"
"Social Indicators Research","0303-8300","X",NA,NA
"Social Research","0037-783X","X",NA,NA
"Social Science Japan Journal","1369-1465","X",NA,NA
"Social Science Quarterly","0038-4941","X",NA,NA
"Social Sciences","0134-5486","X",NA,NA
"Social Security Bulletin","0037-7910","X",NA,NA
"Social Service Review","0037-7961","X",NA,NA
"Sociedad y Economía","1657-6357","X",NA,NA
"Socio-Economic Planning Sciences","0038-0121","X","X","X"
"Socio-Economic Review","1475-1461","X",NA,"X"
"Socio-Économie du Travail/Social Economy of Labor","2554-9073","X",NA,NA
"Socioeconomica","2217-7558","X",NA,NA
"Sociologia del Lavoro","0392-5048","X","X",NA
"Sosyoekonomi","1305-5577","X",NA,NA
"South-Eastern Europe Journal of Economics","1109-8597","X",NA,NA
"South African Journal of Economic and Management Sciences, N.S.","1015-8812","X",NA,NA
"South African Journal of Economics","0038-2280","X","X","X"
"South Asia Economic Journal","1391-5614","X",NA,NA
"South Asian Journal of Macroeconomics and Public Finance","2277-9787","X","X",NA
"South East European Journal of Economics and Business","1840-118X","X",NA,NA
"Southern Economic Journal","0038-4038","X","X","X"
"Southern Journal of Agricultural Economics","0081-3052","X",NA,NA
"Southern Journal of Entrepreneurship","1935-8695","X",NA,NA
"Southern Quarterly","0038-4496","X",NA,NA
"Southern Quarterly Online","2377-2050","X",NA,NA
"Southwestern Economic Review","1941-7683","X",NA,NA
"Southwestern Economic Review Online","1941-7691","X",NA,NA
"Soviet and Eastern European Foreign Trade","0038-5263","X",NA,NA
"Soviet Economy","0882-6994","X",NA,NA
"Soviet Studies","0038-5859","X",NA,NA
"Sozialer Fortschritt/German Review of Social Policy","0038-609X","X",NA,NA
"Spanish Economic Review","1435-5469","X",NA,NA
"Spanish Review of Financial Economics","2173-1268","X","X",NA
"Spatial Economic Analysis","1742-1772","X",NA,"X"
"Spoudai","1105-8919","X",NA,NA
"Sri Lanka Economic Journal","1391-5894","X",NA,NA
"SS International Journal of Business and Management Research","2231-4970","X",NA,NA
"State Bank of Pakistan Research Bulletin","1994-201X","X",NA,NA
"Statistica","0039-0380","X",NA,NA
"Statistica Neerlandica","0039-0402","X",NA,NA
"Statistical Inference for Stochastic Processes","1387-0874","X",NA,NA
"Statistical Journal","0167-8000","X",NA,NA
"Statistical Journal of the IAOS","1874-7655","X","X",NA
"Statistical Methods and Applications","1618-2510","X",NA,NA
"Statistical Papers","0932-5026","X",NA,NA
"Statistical Review","1790-4021","X",NA,NA
"Statistical Review","1791-1745","X",NA,NA
"Statistika: Statistics and Economy Journal","0322-788X","X","X",NA
"Stato e Mercato","0392-9701","X",NA,NA
"Statsokonomisk Tidsskrift","0039-0720","X",NA,NA
"Stochastics and Quality Control","2367-2404","X",NA,NA
"Storia del Pensiero Economico","1593-8565","X",NA,NA
"Storia del Pensiero Economico Online","1593-8603","X",NA,NA
"Storia del Pensiero Economico: Nuova Serie","1828-1990","X",NA,NA
"Strategic Behavior and the Environment","1944-012X","X",NA,NA
"Structural Change and Economic Dynamics","0954-349X","X","X","X"
"Studi e Note di Economia","1720-4100","X",NA,NA
"Studi Economici","0039-2928","X",NA,NA
"Studia Universitatis Babes-Bolyai Oeconomica","1220-0506","X",NA,NA
"Studies in Agricultural Economics","1418-2106","X",NA,NA
"Studies in Business and Economics","1842-4120","X",NA,NA
"Studies in Economics and Finance","1086-7376","X","X",NA
"Studies in Family Planning","0039-3665","X",NA,NA
"Studies in Microeconomics","2321-0222","X",NA,NA
"Studies in Nonlinear Dynamics and Econometrics","1081-1826","X","X","X"
"Studies in Regional Science","0287-6256","X",NA,NA
"Supreme Court Economic Review","0736-9921","X",NA,NA
"Survey of Current Business","0039-6222","X",NA,NA
"Swedish Economic Policy Review","1400-1829","X",NA,NA
"Swiss Journal of Economics and Statistics","2235-6282","X","X",NA
"Swiss Political Science Review","1424-7755","X",NA,NA
"Tahghighat-e-Eghtesadi","0039-8969","X",NA,NA
"Tahqiqat–e eqtesadi (Quarterly Journal of Economic Research)","1010-657X","X",NA,NA
"Taipei Economic Inquiry","1018-1245","X",NA,NA
"Taiwan Economic Forecast and Policy","1729-8849","X",NA,NA
"Taiwan Economic Review","1018-3833","X",NA,NA
"Taiwanese Agricultural Economic Review","1027-7757","X",NA,NA
"Tarim Ekonomisi Dergisi/Turkish Journal of Agricultural Economics","1303-0183","X",NA,NA
"Teaching Business and Economics","1367-3289","X",NA,NA
"Technology Analysis and Strategic Management","0953-7325","X",NA,NA
"Telecommunications Policy","0308-5961","X",NA,NA
"TEST","1133-0686","X",NA,NA
"Theoretical and Applied Economics","1841-8678","X",NA,NA
"Theoretical and Practical Research in Economic Fields","2068-7710","X",NA,NA
"Theoretical Economics","1933-6837","X",NA,"X"
"Theoretical Economics Letters","2162-2078","X",NA,NA
"Theory and Decision","0040-5833","X",NA,"X"
"Timisoara Journal of Economics and Business","2286-0991","X",NA,NA
"Top","1134-5764","X",NA,NA
"Topics in Economic Analysis and Policy","1538-0653","X",NA,NA
"Topics in Macroeconomics","1534-5998","X",NA,NA
"Topics in Middle Eastern and North African Economies","2334-282X","X",NA,NA
"Topics in Theoretical Economics","1534-598X","X",NA,NA
"Tourism and Hospitality Management","1330-7533","X",NA,NA
"Tourism Economics","1354-8166","X",NA,"X"
"Transformations in Business and Economics","1648-4460","X","X","X"
"Transition Studies Review","1614-4007","X",NA,NA
"Transnational Corporations","1014-9562","X",NA,NA
"Transnational Corporations Review","1918-6444","X","X",NA
"Transportation","0049-4488","X",NA,NA
"Transportation Journal","0041-1612","X",NA,NA
"Transportation Journal Online","2157-328X","X",NA,NA
"Transportation Research: Part A: Policy and Practice","0965-8564","X",NA,"X"
"Transportation Research: Part B: Methodological","0191-2615","X",NA,"X"
"Transportation Research: Part D: Transport and Environment","1361-9209","X",NA,NA
"Transportation Research: Part E: Logistics and Transportation Review","1366-5545","X",NA,"X"
"Travail et Emploi","0224-4365","X",NA,NA
"Ukrainian Economic Review","1080-725X","X",NA,NA
"Uluslararasi Iktisadi ve Idari Incelemeler Dergisi/International Journal of Economic and Administrative Studies","1307-9832","X",NA,NA
"UNCTAD Review","1014-370X","X",NA,NA
"Universal Journal of Accounting and Finance","2331-9712","X",NA,NA
"Universal Journal of Industrial and Business Management","2332-3310","X",NA,NA
"Universal Journal of Management","2331-950X","X",NA,NA
"University of Washington Business Review","0042-0298","X",NA,NA
"Uprava/Administration","1581-7555","X",NA,NA
"Urban Affairs Review","1078-0874","X",NA,NA
"Urban Public Economics Review/Revista de Economía Pública Urbana","1697-6223","X",NA,NA
"Urban Studies","0042-0980","X",NA,NA
"Utilities Policy","0957-1787","X",NA,NA
"UTMS Journal of Economics","1857-6974","X",NA,NA
"Venture Capital","1369-1066","X",NA,NA
"Verslo ir Teises Aktualijos/Current Issues of Business and Law","1822-9530","X",NA,NA
"Vie et Sciences de l'Entreprise","2262-5321","X",NA,NA
"Vie et Sciences Economiques","0336-142X","X",NA,NA
"Vierteljahrschrift für Sozial- und Wirtschaftsgeschichte","0340-8728","X",NA,NA
"Virginia Economic Journal","1085-1046","X",NA,NA
"Water Resources and Economics","2212-4284","X",NA,"X"
"Water Resources Research","0043-1397","X",NA,NA
"Weltwirtschaftliches Archiv","0043-2636","X",NA,NA
"West African Financial and Economic Review","0263-0699","X",NA,NA
"Western Economic Journal","0715-4577","X",NA,NA
"Western Journal of Agricultural Economics","0162-1912","X",NA,NA
"WIFO-Monatsberichte","0029-9898","X",NA,NA
"Wirtschaft und Recht","0043-6135","X",NA,NA
"Wirtschaft und Wettbewerb","0043-6151","X",NA,NA
"Wirtschaftsdienst","0043-6275","X",NA,NA
"Wirtschaftspolitische Blätter","0043-6291","X",NA,NA
"Wirtschaftspolitische Blätter Online","1605-8704","X",NA,NA
"WorkingUSA","1089-7011","X",NA,NA
"World Bank Economic Review","0258-6770","X","X","X"
"World Bank Research Observer","0257-3032","X","X","X"
"World Competition: Law and Economics Review","1011-4548","X","X",NA
"World Development","0305-750X","X","X","X"
"World Economy","0378-5920","X","X","X"
"World Journal of Applied Economics","2459-0126","X",NA,NA
"World Review of Entrepreneurship, Management and Sustainable Development","1746-0573","X","X",NA
"World Review of Science, Technology and Sustainable Development","1741-2242","X",NA,NA
"World Tax Journal","1878-4917","X",NA,NA
"World Trade Review","1474-7456","X","X","X"
"WSEAS Transactions on Business and Economics","1109-9526","X","X",NA
"WSI-Mitteilungen","0342-300X","X",NA,NA
"Yale Economic Essays","0044-006X","X",NA,NA
"Yale Journal on Regulation","0741-9457","X",NA,NA
"Yale Law Journal","0044-0094","X",NA,NA
"Yapi Kredi Economic Review","1019-1232","X",NA,NA
"YDU Sosyal Bilimler Dergisi/NEU Journal of Social Sciences","1986-1303","X",NA,NA
"Yönetim ve Ekonomi","1302-0064","X",NA,NA
"Zagreb International Review of Economics and Business","1331-5609","X",NA,NA
"Zbornik Ekonomskog Fakulteta u Zagrebu","1333-8900","X",NA,NA
"Zbornik Radova Ekonomskog Fakulteta Rijeka","0353-3689","X",NA,NA
"Zbornik Radova Ekonomskog Fakulteta u Istocnom Sarajevu","1840-3557","X",NA,NA
"Zbornik Radova Ekonomskog Fakulteta u Mostaru","1840-3255","X",NA,NA
"Zbornik Radova Ekonomskog Fakulteta u Rijeci: Casopis za Ekonomsku Teoriju i Praksu/Proceedings of Rijeka School of Economics: Journal of Economics and Business","1331-8004","X","X",NA
"Zeitschrift für die gesamte Staatswissenschaft (JITE)","0044-2550","X",NA,NA
"Zeitschrift für Nationalökonomie","0044-3158","X",NA,NA
"Zeitschrift fur offentliche und gemeinwirtschaftliche Unternehmen","0344-9777","X",NA,NA
"Zeitschrift für Umweltpolitik und Umweltrecht/Journal of Environmental Law and Policy","0931-0983","X",NA,NA
"Zeitschrift für Unternehmensgeschichte","0342-2852","X",NA,NA
"Zeitschrift für Wirtschafts- und Sozialwissenschaften","0342-1783","X",NA,NA
"Zeitschrift für Wirtschafts- und Unternehmensethik","1439-880X","X",NA,NA
"Zeitschrift für Wirtschaftspolitik","0721-3808","X",NA,NA
"Zhournal Novoi Ekonomicheskoi Associacii/Journal of the New Economic Association","2221-2264","X","X",NA
"Academy of Accounting and Financial Studies Journal","1096-3685",NA,"X",NA
"Academy of Accounting and Financial Studies Journal","1528-2635",NA,"X",NA
"Academy of Entrepreneurship Journal","1087-9595",NA,"X",NA
"Academy of Entrepreneurship Journal","1528-2686",NA,"X",NA
"Academy of Marketing Studies Journal (discontinued)","1095-6298",NA,"X",NA
"Academy of Marketing Studies Journal (discontinued)","1528-2678",NA,"X",NA
"ACM Transactions on Economics and Computation","2167-8375",NA,"X",NA
"ACM Transactions on Economics and Computation","2167-8383",NA,"X",NA
"Acta Oeconomica","1588-2659",NA,"X",NA
"Actuel Marx","0994-4524",NA,"X",NA
"Advances in Consumer Research","0098-9258",NA,"X",NA
"African Journal of Agricultural and Resource Economics","1993-3738",NA,"X",NA
"African Journal of Business and Economic Research","1750-4554",NA,"X",NA
"African Journal of Business and Economic Research","1750-4562",NA,"X",NA
"Agrekon","2078-0400",NA,"X",NA
"Agribusiness","1520-6297",NA,"X",NA
"Agricultural Economics","1574-0862",NA,"X",NA
"Agricultural Economics-Zemedelska Ekonomika","0139-570X",NA,NA,"X"
"Agricultural Finance Review","2041-6326",NA,"X",NA
"Agricultural History Review","0002-1490",NA,"X",NA
"American Journal of Agricultural Economics","1467-8276",NA,"X",NA
"American Journal of Economics and Sociology","1536-7150",NA,"X",NA
"Annals of Actuarial Science","1748-5002",NA,"X",NA
"Annals of Economics and Statistics","1968-3863",NA,"X",NA
"Annals of Public and Cooperative Economics","1467-8292",NA,"X",NA
"Annual Review of Economics","1941-1391",NA,"X",NA
"Annual Review of Financial Economics","1941-1375",NA,"X",NA
"Annual Review of Resource Economics","1941-1359",NA,"X",NA
"Antitrust Bulletin","1930-7969",NA,"X",NA
"Applied Econometrics","2410-6445",NA,"X",NA
"Applied Economic Perspectives and Policy","2040-5804",NA,"X",NA
"Applied Economics","1466-4283",NA,"X",NA
"Applied Economics Letters","1466-4291",NA,"X",NA
"Applied Health Economics and Health Policy","1179-1896",NA,"X",NA
"Argumenta Oeconomica","1233-5835",NA,"X","X"
"Asia-Pacific Journal of Accounting and Economics","2164-2257",NA,"X",NA
"Asia-Pacific Review","1343-9006",NA,"X",NA
"Asia-Pacific Social Science Review","0119-8386",NA,"X",NA
"Asian-Pacific Economic Literature","1467-8411",NA,"X",NA
"Asian Affairs","0306-8374",NA,"X",NA
"Asian Affairs","1477-1500",NA,"X",NA
"Asian Economic Papers","1536-0083",NA,"X",NA
"Asian Journal of Technology Innovation","1976-1597",NA,"X","X"
"Asian Journal of Technology Innovation","2158-6721",NA,"X",NA
"Asian Journal of WTO and International Health Law and Policy","1819-5164",NA,"X",NA
"AStA Advances in Statistical Analysis","1863-818X",NA,"X",NA
"ASTIN Bulletin","0515-0361",NA,"X","X"
"ASTIN Bulletin","1783-1350",NA,"X",NA
"Auditing","0278-0380",NA,"X",NA
"Auditing","1558-7991",NA,"X",NA
"Australasian Marketing Journal","1441-3582",NA,"X",NA
"Australian Economic History Review","1467-8446",NA,"X",NA
"Australian Economic Review","1467-8462",NA,"X",NA
"Australian Journal of Agricultural and Resource Economics","1467-8489",NA,"X",NA
"Banking and Finance Review","1947-6140",NA,"X",NA
"Basic Income Studies","1932-0183",NA,"X",NA
"Berichte uber Landwirtschaft","0005-9080",NA,"X",NA
"Betriebswirtschaftliche Forschung und Praxis","0340-5370",NA,"X",NA
"Borsa Istanbul Review","2214-8469",NA,"X",NA
"Brazilian Business Review","1808-2386",NA,"X",NA
"British Actuarial Journal","2044-0456",NA,"X",NA
"Brookings Papers on Economic Activity","1533-4465",NA,"X",NA
"BRQ Business Research Quarterly","2340-9436",NA,"X",NA
"BRQ Business Research Quarterly","2340-9444",NA,"X",NA
"Bulletin of Economic Research","1467-8586",NA,"X",NA
"Bulletin of Indonesian Economic Studies","1472-7234",NA,"X",NA
"Business & professional ethics journal","0277-2027",NA,"X",NA
"Business & professional ethics journal","2153-7828",NA,"X",NA
"Business Economics","1554-432X",NA,"X",NA
